objectid,totloss,st_areashape,st_perimetershape
277,0.00561331,9795.57066508918,395.890301272406
278,2.93447749,9795.42707009939,395.887399549052
279,0.26428187,9795.25891847868,395.884001565786
280,6.90783952,9795.23401995886,395.883498417644
281,9.46913857,9795.20434646821,395.882898776419
282,0.47102136,9795.16989766779,395.882202634577
283,10.11456784,9791.68169105031,395.811706568838
284,27.22607006,9791.65236365014,395.811113813714
285,1.04453699,9795.6361521527,395.891624607699
286,7.55318909,9795.60613712869,395.89101807707
287,5.43140469,9795.57168767274,395.890321936385
288,2.63538553,9795.54678865762,395.889818786189
289,2.78671258,9795.5171147015,395.889219145184
290,7.26930386,9795.47720844082,395.888412731584
291,8.38879138,9795.44787518905,395.887819973114
292,4.50793926,9795.42331735077,395.887323714389
293,11.90090973,9795.3885273854,395.886620686032
294,8.32543286,9795.36396952682,395.886124425293
295,9.81703918,9795.32917971727,395.885421398258
296,11.93848693,9795.2943898629,395.884718368688
297,12.10809032,9795.26983235938,395.884222112716
298,2.99806469,9795.23504261636,395.88351908357
299,24.12534437,9791.66259393803,395.81132058477
300,0.05558081,9795.73097305352,395.893540701267
301,5.00598582,9795.69686420251,395.892851447611
302,9.86059385,9795.66173292584,395.892141532191
303,6.80780948,9795.63205866313,395.891541888254
304,0.06181462,9795.59726827193,395.890838858935
305,2.45294781,9795.50858674098,395.889046814756
306,1.92336101,9795.4785717985,395.888440281926
307,0.43409823,9795.45367304267,395.887937134656
308,0.7707353,9795.35987609907,395.886041706026
309,23.97503904,9791.659182902,395.811251642234
310,0.46266288,9795.79134452126,395.894760652867
311,6.35708606,9795.75689475713,395.894064512458
312,14.76917356,9795.7272202986,395.89346486763
313,5.93961826,9795.69754593453,395.892865223601
314,0.38179154,9791.66020540027,395.811272308513
315,39.64535234,9791.62542204225,395.810569278696
316,55.27083783,9791.32328664918,395.804462565124
317,134.37464377,9791.28918570109,395.803773316206
318,2.58487553,9795.91618171609,395.897283278905
319,7.95453206,9795.8769563806,395.896490641392
320,9.00072603,9795.85205719054,395.895987495579
321,5.35323937,9795.82238258883,395.895387850718
322,7.37182005,9795.79236709687,395.89478131655
323,0.09293306,9795.75791729645,395.894085175446
324,0.09087594,9791.6612278496,395.811292974005
325,46.89667173,9791.62132936893,395.810486558887
326,3639.88186152,9791.32499077053,395.804497008925
327,2691.60902316,9791.29532317039,395.803897366823
328,736.99334691,9791.26531462427,395.803290832793
329,1.77350378,9795.97177845429,395.898406735008
330,110.1027615,9795.94176277316,395.897800201542
331,66.33884567,9795.91720434988,395.897303943432
332,0.0257525,9795.8827544284,395.896607804241
333,8.80122329,9791.63258232273,395.810714000119
334,402.04580582,9791.35534037135,395.805110434392
335,1129.49659236,9791.32567258465,395.804510789751
336,0.00054425,9791.29600484477,395.803911144845
337,0.08535937,9791.26667806195,395.803318390676
338,236.07956249,9791.23189557631,395.802615364364
339,28.03781348,9796.03692622287,395.89972318713
340,177.09599331,9796.01748381247,395.899330311482
341,179.1679964,9795.97757646497,395.898523896616
342,29.93672363,9795.94790177038,395.897924253874
343,0.99295257,9791.63360486706,395.810734667357
344,9.607e-05,9791.60427764188,395.810141914466
345,12.88213811,9791.53982625399,395.808839239493
346,19.04380958,9791.51015819546,395.808239594853
347,25.81300479,9791.4801494309,395.807633063113
348,56.75756422,9791.45559673289,395.807136807519
349,69.68431558,9791.38637160364,395.805737636303
350,786.83249456,9791.35158876326,395.805034607119
351,147.32884573,9791.32226191544,395.804441853168
352,3.9008296,9791.22780299224,395.802532644696
353,594.80299682,9791.20290958689,395.802029496364
354,278.61190833,9791.11424808276,395.800237454925
355,1658.81926162,9791.07946577002,395.799534426761
356,1520.37653337,9791.04979850042,395.798934783921
357,188.241204,9791.02013117554,395.798335139157
358,1710.54786974,9790.99046390702,395.797735494422
359,18.63355409,9796.15698965868,395.90214931811
360,29.7659118,9796.1273146528,395.901549674265
361,85.1809517,9796.09729874796,395.900943141144
362,118.33443076,9796.06796480279,395.900350387423
363,138.38116146,9796.03828987925,395.899750742821
364,26.99689195,9796.00861500254,395.899151097954
365,0,9791.60018524647,395.810059200108
366,0.47880878,9791.57017619535,395.809452665263
367,31.80476352,9791.54562320495,395.808956406193
