"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N","P5_011N","P5_012N","P5_013N","P5_014N","P5_015N","P5_016N","P5_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"," !!Total:!!Hispanic or Latino:"," !!Total:!!Hispanic or Latino:!!White alone"," !!Total:!!Hispanic or Latino:!!Black or African American alone"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Hispanic or Latino:!!Asian alone"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Hispanic or Latino:!!Two or More Races",
"1000000US150030086252005","Block 2005, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","165","144","1","0","0","114","6","0","23","21","1","0","0","10","0","0","10",
"1000000US150030086252006","Block 2006, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","1223","1044","25","7","1","658","89","1","263","179","10","0","4","46","6","7","106",
"1000000US150030086252007","Block 2007, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","143","116","0","1","0","89","0","0","26","27","3","0","0","20","0","0","4",
"1000000US150030086252008","Block 2008, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","136","124","5","0","0","90","1","0","28","12","0","0","0","1","5","1","5",
"1000000US150030086252009","Block 2009, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","163","134","7","0","0","111","0","0","16","29","0","0","0","4","0","14","11",
"1000000US150030086252010","Block 2010, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","164","155","0","0","0","131","8","0","16","9","0","0","0","3","1","0","5",
"1000000US150030086252011","Block 2011, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","534","509","21","2","0","412","20","0","54","25","0","0","0","14","0","0","11",
"1000000US150030086252012","Block 2012, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086261000","Block 1000, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","710","636","25","10","0","282","93","0","226","74","10","0","0","6","13","1","44",
"1000000US150030086261001","Block 1001, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","44","32","0","1","0","13","7","0","11","12","0","0","0","0","0","0","12",
"1000000US150030086261002","Block 1002, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","64","56","8","0","0","25","0","0","23","8","0","0","0","0","0","0","8",
"1000000US150030086261003","Block 1003, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","127","108","0","2","0","32","17","0","57","19","0","0","0","0","1","4","14",
"1000000US150030086261004","Block 1004, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086261005","Block 1005, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","69","65","0","0","0","41","13","0","11","4","0","0","0","0","2","0","2",
"1000000US150030086261006","Block 1006, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","31","25","4","0","0","4","4","1","12","6","0","0","0","0","0","0","6",
"1000000US150030086261007","Block 1007, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086261008","Block 1008, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","326","282","5","3","0","101","61","0","112","44","2","0","0","4","4","0","34",
"1000000US150030086261009","Block 1009, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","32","11","0","0","0","4","2","0","5","21","2","0","2","2","1","3","11",
"1000000US150030086261010","Block 1010, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086261011","Block 1011, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","176","164","40","2","0","70","7","0","45","12","0","0","2","4","1","0","5",
"1000000US150030086261012","Block 1012, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","111","100","0","1","0","71","2","1","25","11","0","0","0","5","1","0","5",
"1000000US150030086261013","Block 1013, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","102","93","7","0","0","70","4","0","12","9","0","0","0","0","3","0","6",
"1000000US150030086261014","Block 1014, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","31","22","8","0","0","4","0","0","10","9","0","0","0","5","0","0","4",
"1000000US150030086261015","Block 1015, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","56","50","5","1","0","17","8","0","19","6","2","0","0","0","0","2","2",
"1000000US150030086261016","Block 1016, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","50","45","5","0","0","21","1","0","18","5","0","0","1","0","0","0","4",
"1000000US150030086261017","Block 1017, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","66","58","11","0","0","29","2","0","16","8","0","1","0","0","1","0","6",
"1000000US150030086261018","Block 1018, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","43","31","0","0","0","13","5","0","13","12","0","0","0","9","0","0","3",
"1000000US150030086261019","Block 1019, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","92","84","7","0","1","42","3","0","31","8","0","0","0","0","0","2","6",
"1000000US150030086261020","Block 1020, Block Group 1, Census Tract 86.26, Honolulu County, Hawaii","71","67","1","0","1","37","0","1","27","4","0","0","0","0","0","2","2",
"1000000US150030086262000","Block 2000, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","34","28","2","0","0","19","0","0","7","6","1","0","0","0","0","0","5",
"1000000US150030086262001","Block 2001, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086262002","Block 2002, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","27","24","0","0","0","11","0","2","11","3","0","0","0","0","0","2","1",
"1000000US150030086262003","Block 2003, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086262004","Block 2004, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","35","34","0","2","0","20","0","0","12","1","0","0","0","0","0","0","1",
"1000000US150030086262005","Block 2005, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","54","48","1","0","0","21","4","0","22","6","0","0","0","0","0","0","6",
"1000000US150030086262006","Block 2006, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","35","31","1","4","0","15","0","0","11","4","0","0","0","0","0","0","4",
"1000000US150030086262007","Block 2007, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086262008","Block 2008, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","324","301","33","4","0","181","12","2","69","23","0","0","0","2","1","0","20",
"1000000US150030086262009","Block 2009, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","23","18","0","0","0","9","1","0","8","5","0","0","0","0","0","5","0",
"1000000US150030086262010","Block 2010, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","33","31","0","0","0","16","5","0","10","2","1","0","0","0","0","0","1",
"1000000US150030086262011","Block 2011, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","30","26","0","0","0","13","0","0","13","4","1","0","1","1","0","0","1",
"1000000US150030086262012","Block 2012, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","42","37","3","0","0","21","0","0","13","5","0","0","0","2","0","0","3",
"1000000US150030086262013","Block 2013, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","246","232","4","1","0","150","18","0","59","14","0","0","0","0","3","2","9",
"1000000US150030086262014","Block 2014, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","38","34","5","1","0","12","8","0","8","4","0","0","0","0","3","1","0",
"1000000US150030086262015","Block 2015, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","43","43","4","0","0","14","9","0","16","0","0","0","0","0","0","0","0",
"1000000US150030086262016","Block 2016, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","26","23","2","0","0","15","6","0","0","3","0","0","0","0","2","0","1",
"1000000US150030086262017","Block 2017, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","35","32","5","0","0","25","0","0","2","3","0","0","0","0","0","1","2",
"1000000US150030086262018","Block 2018, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","21","19","0","0","0","10","3","0","6","2","0","0","0","0","0","0","2",
