X,Y,OBJECTID,ENABLED,ANCILLARYROLE,SEWERID,BASINID,PROJECTID,STATUS,OWNER,DATEINSTALLED,DATEDIGITIZED,DATEMODIFIED,ADDRESS,TANKCAPACITY,GLOBALID,PUMPTYPE,TMK,LPPUMPSUBTYPE,NO_PUMPS,NEIGHBORHOOD,GROUNDELEV
-157.921337251,21.645963459,158,1,0,4041661,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2021/03/02 11:10:35+00,55-439  IOSEPA ST,265,{74AAC074-A543-4254-8D9A-DD97DCC4852E},LP,55014025,1,1,LAIE,
-157.919213658,21.646100787,159,1,0,4041696,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-487  KAM HWY,,{67DF096A-D5CF-4E0D-986F-9AA24F2E8A57},LP,55002047,1,,LAIE,
-157.920243665,21.6452970460001,160,1,0,4041702,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-476  KAM HWY,,{F8D36FDF-AFCB-4A97-A731-74804960E9BC},LP,55014052,1,,LAIE,
-157.922256361,21.647712665,161,1,0,4041724,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-539  KAM HWY,,{E932F359-6766-478B-898E-B76C372A9D15},LP,55011065,1,,LAIE,
-157.925435122,21.6489568060001,162,1,0,4041741,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-109  KULANUI ST,,{372AFCDF-C877-4B9B-8B24-6DE2A9D7A04D},LP,55015033,1,,LAIE,
-157.877817214,21.317866999,163,1,0,4014608,SI,6225,ACT,PVT,2000/07/17 00:00:00+00,2003/02/05 00:00:00+00,2003/04/09 00:00:00+00,PIER 36 - 38,,{F669A92A-3B71-4AAB-BEC2-B5F0FD6F6910},IPS,15042006,1,,KALIHI,
-157.901158418,21.33788055,164,1,0,4016203,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/01 00:00:00+00,2003/07/23 00:00:00+00,689  PUULOA RD,,{B8E010C5-E069-43F3-B374-2E082D8CA416},LP,11005022,1,,AIRPORT,
-157.900278224,21.338524707,165,1,0,4016205,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/01 00:00:00+00,2003/07/23 00:00:00+00,704  MAPUNAPUNA ST,,{780098E8-0118-4130-8DE4-6B4C5496F0D4},LP,11005024,1,,AIRPORT,
-157.900279137,21.3389859380001,166,1,0,4016206,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/01 00:00:00+00,2003/07/23 00:00:00+00,2969  MAPUNAPUNA PL,,{4AF58CC8-20B4-4668-A78A-C1AF66699612},LP,11005025,1,,AIRPORT,
-157.898940372,21.3404793120001,167,1,0,4016547,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,2906  KAIHIKAPU ST,,{07D31578-EF9B-409F-95FE-BCC36E830584},LP,11005076,1,,AIRPORT,
-157.897778952,21.3390324380001,168,1,0,4016556,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,2815  KAIHIKAPU ST,,{BDA899D0-9B35-4360-9BEA-EC722620D429},LP,11005060,1,,AIRPORT,
-157.898929888,21.342422318,169,1,0,4016637,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,851  MAPUNAPUNA ST,,{AF0A377F-501E-4B76-AF01-EFCA7ADE26FB},LP,11005090,1,,AIRPORT,
-157.89802724,21.336523143,170,1,0,4016767,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,659  AHUA ST,,{5A8140B0-1740-42E9-9027-CCBBCE107EE9},LP,11005093,1,,AIRPORT,
-157.925604753,21.6462785890001,171,1,0,4042776,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-514  IOSEPA ST,,{2B1079BB-C9DB-4CE6-99CC-673C109D0D8F},LP,55012065,1,,LAIE,
-157.930576485,21.652332325,172,1,0,4041272,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-706A1 WAHINEPEE ST,,{961CF590-24C4-41D8-9CB2-E77815E059BC},LP,55017034,1,,LAIE,
-157.929784968,21.651825742,173,1,0,4041282,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-690A WAHINEPEE ST,,{125110DD-3C8F-46B7-9B0D-A5B4823CDE71},LP,55017024,1,,LAIE,
-157.931542925,21.6496916730001,174,1,0,4041310,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-645  LANIHULI PL,,{0D4DDF83-EC09-47D5-89EE-4A860CC47AB0},LP,55017053,1,,LAIE,
-157.931258098,21.6497520410001,175,1,0,4041312,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-111  LANIHULI ST,,{D7D20B5A-C708-4C95-841D-87365BFA5C8D},LP,55017058,1,,LAIE,
-157.926915167,21.6514618690001,176,1,0,4041335,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-649  KAM HWY,,{CC5EE69D-CAD3-4EFE-8EAB-595E7C363E43},LP,55003036,1,,LAIE,
-157.928800051,21.649986223,177,1,0,4041364,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-635  NANILOA LP,,{008A934D-45A2-44FC-813E-AB710DA8BDEA},LP,55016017,1,,LAIE,
-157.925236079,21.6507689420001,178,1,0,4041394,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-615  KAM HWY,,{D7753AF5-CD18-4D08-B2AA-867A4B1FB48C},LP,55003041,1,,LAIE,
-157.922929966,21.648453294,179,1,0,4041416,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-557  KAM HWY,,{72663705-2579-421E-B7EF-53AE2A639C8F},LP,55003205,1,,LAIE,
-157.925481828,21.6503731060001,180,1,0,4041422,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-610  KAM HWY,,{6245A7D1-8595-42BD-B1DB-057FF8BB2AFB},LP,55015028,1,,LAIE,
-157.927170378,21.6501042260001,181,1,0,4041433,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-48  LANIHULI ST,,{3BD76831-1317-4780-B150-49CC48CE241D},LP,55015008,1,,LAIE,
-157.927443738,21.649558379,182,1,0,4041444,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-627  MOANA ST,,{0C4591D4-9838-43E6-8467-75543DE48E76},LP,55015006,1,,LAIE,
