X,Y,objectid,wwtp_name,county,permit,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape
-159.492616674883,22.2175016193013,151,Princeville Resort,Kauai,431,,454011001,Reuse R2,Private,3,NULL,22.217505,-159.492631,
-159.467640670809,21.8816065960206,152,Waikomo Stream Villas,Kauai,433,UK-1929,428015076,WWTP,Private,2,4/16/1981,21.88161,-159.467655,
-159.469755670851,21.8790375963945,153,Whaler's Cove at Poipu,Kauai,435,UK-1277,426007013,WWTP,Private,2,NULL,21.879041,-159.46977,
-159.466039670598,21.8776845957632,154,Alihi Lani Apartments,Kauai,436,UK-1609,428015009,WWTP,Private,2,NULL,21.877688,-159.466054,
-159.372087666401,21.958202602242,155,Lihue-Puhi Wastewater Facility,Kauai,439,,433003035,Reuse R1,Private,3,6/4/1993,21.958206,-159.372102,
-159.49708267524,22.2020686182046,156,Hanalei Center,Kauai,440,UK-1898,455009007,WWTP,Private,2,NULL,22.202072,-159.497097,
-159.464816670987,21.9041005979455,157,"15,000 GPD Old Koloa Town Shopping Ctr",Kauai,442,,428008036,WWTP,Private,,7/7/2020,21.904104,-159.464831,
-159.359453666232,21.9504796024607,158,Nawiliwili Boat Harbor,Kauai,443,UK-2104,432003043,WWTP,Public,,NULL,21.950483,-159.359468,
-159.447650669072,21.8707295953471,159,Sunset Kahili,Kauai,445,UK-2095,428019003,WWTP,Private,2,6/1/2005,21.870733,-159.447665,
-159.463128670491,21.9047045978903,160,Big Save WWTP,Kauai,447,UK-2889,428008014,WWTP,Private,2,4/10/2019,21.904708,-159.463143,
-159.620920677908,21.9136015974264,161,Kaumakani Village w/ biofilm system,Kauai,448,,417006001,WWTP,Private,1,12/6/2019,21.913605,-159.620935,
,,162,Makua Military Reservation,C&C Honolulu,46281,,182001002,Reuse R2,Public,,9/24/2012,,,
-156.021287510649,19.6897825176545,163,Kaloko Palms Industrial Park,Hawaii,500,UH-3061,373051003,WWTP,Private,2,7/12/2019,19.689786,-156.021302,
-155.905604502654,19.4854215099327,164,Captain Cook Ocean View Condo,Hawaii,503,,382003017,WWTP,Private,2,NULL,19.485425,-155.905619,
-155.038116488508,19.7123045377881,165,General Lyman Field - Hilo Airport,Hawaii,505,UH-1356,321012001,WWTP,Public,2,1/12/1977,19.712308,-155.038131,
-156.02264651058,19.6682685161709,166,Honokohau Harbor (South Side Comfort Station),Hawaii,510,UH-1910,374008003,WWTP,Public,2,NULL,19.668272,-156.022661,
-155.812907512671,20.0239165377732,167,Kawaihae Village,Hawaii,511,UH-1281,362003055,WWTP,Private,2,NULL,20.02392,-155.812922,
-156.036992512481,19.7485535194555,168,Ellison Onizuka International Airport (fka Kona International Airport & fka Keahole Airport),Hawaii,512,,373043003,Reuse R1,Public,4,1/1/1999,19.748557,-156.037007,
-155.907235502721,19.4875025102464,169,"Kealakekua Ranch, Ltd Center",Hawaii,513,UH-1237,382001125,WWTP,Private,1,NULL,19.487506,-155.90725,
-155.930520504628,19.5450625120272,170,Kona Coffee Villas,Hawaii,516,UH-1535,379003010,WWTP,Private,2,7/23/2003,19.545066,-155.930535,
