"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150030018011","Block Group 1, Census Tract 18.01, Honolulu County, Hawaii","305","68","104","41","201","65",
"1500000US150030018012","Block Group 2, Census Tract 18.01, Honolulu County, Hawaii","266","65","62","32","204","63",
"1500000US150030018031","Block Group 1, Census Tract 18.03, Honolulu County, Hawaii","651","139","163","64","488","119",
"1500000US150030018032","Block Group 2, Census Tract 18.03, Honolulu County, Hawaii","508","131","146","79","362","127",
"1500000US150030018033","Block Group 3, Census Tract 18.03, Honolulu County, Hawaii","470","129","196","95","274","105",
"1500000US150030018041","Block Group 1, Census Tract 18.04, Honolulu County, Hawaii","809","133","354","109","455","120",
"1500000US150030019011","Block Group 1, Census Tract 19.01, Honolulu County, Hawaii","143","43","78","34","65","34",
"1500000US150030019031","Block Group 1, Census Tract 19.03, Honolulu County, Hawaii","1126","139","704","123","422","113",
"1500000US150030019032","Block Group 2, Census Tract 19.03, Honolulu County, Hawaii","371","93","124","47","247","94",
"1500000US150030019041","Block Group 1, Census Tract 19.04, Honolulu County, Hawaii","1054","186","506","161","548","128",
"1500000US150030019042","Block Group 2, Census Tract 19.04, Honolulu County, Hawaii","1037","194","392","132","645","181",
"1500000US150030020031","Block Group 1, Census Tract 20.03, Honolulu County, Hawaii","305","91","99","42","206","79",
"1500000US150030020032","Block Group 2, Census Tract 20.03, Honolulu County, Hawaii","706","102","360","87","346","98",
"1500000US150030020041","Block Group 1, Census Tract 20.04, Honolulu County, Hawaii","669","91","255","52","414","81",
"1500000US150030020051","Block Group 1, Census Tract 20.05, Honolulu County, Hawaii","421","102","70","39","351","106",
"1500000US150030020052","Block Group 2, Census Tract 20.05, Honolulu County, Hawaii","631","115","163","60","468","123",
"1500000US150030020061","Block Group 1, Census Tract 20.06, Honolulu County, Hawaii","752","124","317","81","435","109",
"1500000US150030020062","Block Group 2, Census Tract 20.06, Honolulu County, Hawaii","307","97","139","59","168","82",
"1500000US150030021001","Block Group 1, Census Tract 21, Honolulu County, Hawaii","828","107","247","85","581","113",
"1500000US150030021002","Block Group 2, Census Tract 21, Honolulu County, Hawaii","849","113","270","90","579","108",
"1500000US150030022011","Block Group 1, Census Tract 22.01, Honolulu County, Hawaii","807","132","357","87","450","141",
"1500000US150030022012","Block Group 2, Census Tract 22.01, Honolulu County, Hawaii","1027","130","150","70","877","137",
"1500000US150030022021","Block Group 1, Census Tract 22.02, Honolulu County, Hawaii","29","44","0","11","29","44",
"1500000US150030022022","Block Group 2, Census Tract 22.02, Honolulu County, Hawaii","1433","146","721","117","712","130",
"1500000US150030023001","Block Group 1, Census Tract 23, Honolulu County, Hawaii","556","125","196","74","360","130",
"1500000US150030023002","Block Group 2, Census Tract 23, Honolulu County, Hawaii","476","111","176","79","300","98",
"1500000US150030023003","Block Group 3, Census Tract 23, Honolulu County, Hawaii","423","99","95","58","328","113",
"1500000US150030023004","Block Group 4, Census Tract 23, Honolulu County, Hawaii","590","120","151","74","439","126",
"1500000US150030023005","Block Group 5, Census Tract 23, Honolulu County, Hawaii","570","130","194","94","376","142",
"1500000US150030024011","Block Group 1, Census Tract 24.01, Honolulu County, Hawaii","380","99","63","53","317","97",
"1500000US150030024012","Block Group 2, Census Tract 24.01, Honolulu County, Hawaii","562","126","159","79","403","137",
"1500000US150030024013","Block Group 3, Census Tract 24.01, Honolulu County, Hawaii","448","105","63","32","385","104",
"1500000US150030024021","Block Group 1, Census Tract 24.02, Honolulu County, Hawaii","764","107","136","59","628","107",
"1500000US150030024022","Block Group 2, Census Tract 24.02, Honolulu County, Hawaii","743","124","269","71","474","121",
"1500000US150030025001","Block Group 1, Census Tract 25, Honolulu County, Hawaii","725","138","175","80","550","140",
"1500000US150030025002","Block Group 2, Census Tract 25, Honolulu County, Hawaii","1154","168","191","95","963","192",
"1500000US150030026001","Block Group 1, Census Tract 26, Honolulu County, Hawaii","332","73","239","67","93","43",
"1500000US150030026002","Block Group 2, Census Tract 26, Honolulu County, Hawaii","429","101","45","32","384","99",
"1500000US150030026003","Block Group 3, Census Tract 26, Honolulu County, Hawaii","502","91","284","85","218","71",
"1500000US150030026004","Block Group 4, Census Tract 26, Honolulu County, Hawaii","576","92","60","34","516","92",
"1500000US150030027011","Block Group 1, Census Tract 27.01, Honolulu County, Hawaii","146","54","110","44","36","41",
"1500000US150030027012","Block Group 2, Census Tract 27.01, Honolulu County, Hawaii","126","48","0","11","126","48",
"1500000US150030027013","Block Group 3, Census Tract 27.01, Honolulu County, Hawaii","355","66","136","37","219","58",
"1500000US150030027021","Block Group 1, Census Tract 27.02, Honolulu County, Hawaii","653","100","394","104","259","81",
"1500000US150030027022","Block Group 2, Census Tract 27.02, Honolulu County, Hawaii","494","139","205","86","289","144",
"1500000US150030027023","Block Group 3, Census Tract 27.02, Honolulu County, Hawaii","751","135","313","107","438","131",
"1500000US150030028001","Block Group 1, Census Tract 28, Honolulu County, Hawaii","645","79","522","86","123","54",
"1500000US150030028002","Block Group 2, Census Tract 28, Honolulu County, Hawaii","794","93","573","95","221","82",
"1500000US150030029001","Block Group 1, Census Tract 29, Honolulu County, Hawaii","908","45","435","48","473","55",
"1500000US150030030001","Block Group 1, Census Tract 30, Honolulu County, Hawaii","306","63","237","66","69","41",
"1500000US150030030002","Block Group 2, Census Tract 30, Honolulu County, Hawaii","462","77","251","82","211","77",
"1500000US150030030003","Block Group 3, Census Tract 30, Honolulu County, Hawaii","359","79","256","68","103","59",
"1500000US150030030004","Block Group 4, Census Tract 30, Honolulu County, Hawaii","450","86","269","71","181","77",
"1500000US150030031011","Block Group 1, Census Tract 31.01, Honolulu County, Hawaii","585","78","507","76","78","34",
